Ticker,Weightage,Investment,Shares
ADANIPORTS,0.0082,132.60025873221215,132.60025873221215
APOLLOHOSP,0.0061,98.64165588615782,98.64165588615782
ASIANPAINT,0.0195,315.32988357050453,315.32988357050453
AXISBANK,0.0257,415.5886157826649,415.5886157826649
BAJAJFINSV,0.012,194.04915912031046,194.04915912031046
BAJFINANCE,0.0237,383.24708926261314,383.24708926261314
BHARTIARTL,0.0233,376.77878395860284,376.77878395860284
BPCL,0.0046,74.38551099611901,74.38551099611901
BRITANNIA,0.0052,84.08796895213453,84.08796895213453
CIPLA,0.0068,109.96119016817592,109.96119016817592
COALINDIA,0.0051,82.47089262613194,82.47089262613194
DIVISLAB,0.0077,124.51487710219922,124.51487710219922
DRREDDY,0.0067,108.34411384217334,108.34411384217334
EICHERMOT,0.0049,79.23673997412678,79.23673997412678
GRASIM,0.0085,137.45148771021994,137.45148771021994
HCLTECH,0.0153,247.4126778783958,247.4126778783958
HDFCBANK,0.081,1309.8318240620956,1309.8318240620956
HDFCLIFE,0.0072,116.42949547218628,116.42949547218628
HEROMOTOCO,0.0043,69.53428201811126,69.53428201811126
HINDALCO,0.0094,152.0051746442432,152.0051746442432
HINDUNILVR,0.0267,431.7593790426908,431.7593790426908
ICICIBANK,0.069,1115.7826649417852,1115.7826649417852
INDUSINDBK,0.0085,137.45148771021994,137.45148771021994
INFY,0.0766,1238.6804657179819,1238.6804657179819
ITC,0.0303,489.97412677878395,489.97412677878395
JSWSTEEL,0.0094,152.0051746442432,152.0051746442432
KOTAKBANK,0.0351,567.5937904269081,567.5937904269081
LT,0.0274,443.07891332470894,443.07891332470894
MARUTI,0.0137,221.53945666235447,221.53945666235447
NESTLEIND,0.0087,140.68564036222506,140.68564036222506
NTPC,0.0099,160.09055627425613,160.09055627425613
ONGC,0.0078,126.1319534282018,126.1319534282018
POWERGRID,0.0104,168.17593790426906,168.17593790426906
RELIANCE,0.1286,2079.560155239327,2079.560155239327
SBILIFE,0.0065,105.10996119016816,105.10996119016816
SBIN,0.0254,410.7373868046571,410.7373868046571
SHREECEM,0.0046,74.38551099611901,74.38551099611901
SUNPHARMA,0.0134,216.68822768434669,216.68822768434669
TATACONSUM,0.0066,106.72703751617075,106.72703751617075
TATAMOTORS,0.0105,169.79301423027167,169.79301423027167
TATASTEEL,0.0137,221.53945666235447,221.53945666235447
TCS,0.0491,793.9844760672703,793.9844760672703
TECHM,0.0105,169.79301423027167,169.79301423027167
TITAN,0.0137,221.53945666235447,221.53945666235447
ULTRACEMCO,0.0102,164.94178525226388,164.94178525226388
UPL,0.006,97.02457956015523,97.02457956015523
WIPRO,0.0101,163.32470892626128,163.32470892626128
